os_version,storage_device_count,storage_devices,cpu_percent,ram_total,ram_used,ram_percent,disk_read_bytes,disk_write_bytes,timestamp,hostname,os_type,total_power,cpu_power,ram_power,disk_base_power,disk_io_power,total_co2,cpu_co2,ram_co2,disk_base_co2,disk_io_co2,co2_factor,region
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",8.0,11.92,6.34,53.19,0.0,95904.0,2025-01-08 10:22:35.547482,192.168.1.8,Windows,64.60519702239999,17.2,5.4780744,16,0.00767232,5.104369358888889e-06,2.2694444444444442e-06,7.228014833333333e-07,2.111111111111111e-06,1.0123199999999999e-09,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",4.0,11.92,6.39,53.61,0.0,0.0,2025-01-08 10:22:41.635668,192.168.1.8,Windows,58.605466312000004,13.6,5.4930936,16,0.0,4.630338738888888e-06,1.7944444444444441e-06,7.247831833333332e-07,2.111111111111111e-06,0.0,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",10.0,11.92,6.4,53.69,0.0,293459.0,2025-01-08 10:22:47.727813,192.168.1.8,Windows,67.6674499704,19.0,5.4959544,16,0.02347672,5.3463138283333334e-06,2.5069444444444445e-06,7.251606499999998e-07,2.111111111111111e-06,3.097622777777777e-09,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",2.0,11.92,6.4,53.69,0.0,0.0,2025-01-08 10:22:53.785087,192.168.1.8,Windows,55.604243847999996,11.8,5.4959544,16,0.0,4.393216205555555e-06,1.5569444444444445e-06,7.251606499999998e-07,2.111111111111111e-06,0.0,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",10.0,11.92,6.4,53.69,0.0,352855.0,2025-01-08 10:22:59.806835,192.168.1.8,Windows,67.675385276,19.0,5.4959544,16,0.0282284,5.346940786111111e-06,2.5069444444444445e-06,7.251606499999998e-07,2.111111111111111e-06,3.7245805555555552e-09,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",2.0,11.92,6.39,53.61,0.0,0.0,2025-01-08 10:23:05.870424,192.168.1.8,Windows,55.599466312,11.8,5.4930936,16,0.0,4.3928387388888885e-06,1.5569444444444445e-06,7.247831833333332e-07,2.111111111111111e-06,0.0,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",10.0,11.92,6.39,53.61,0.0,1904765.0,2025-01-08 10:23:12.100512,192.168.1.8,Windows,67.877942916,19.0,5.4930936,16,0.1523812,5.362944591666666e-06,2.5069444444444445e-06,7.247831833333332e-07,2.111111111111111e-06,2.0105852777777774e-08,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",6.0,11.92,6.42,53.86,0.0,0.0,2025-01-08 10:23:18.276297,192.168.1.8,Windows,61.62639611199999,15.4,5.5020336,16,0.0,4.869018322222222e-06,2.0319444444444444e-06,7.259627666666667e-07,2.111111111111111e-06,0.0,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",55.0,11.92,6.39,53.61,0.0,123544.0,2025-01-08 10:23:24.353769,192.168.1.8,Windows,135.2749717904,59.5,5.4930936,16,0.00988352,1.0687892814444443e-05,7.850694444444443e-06,7.247831833333332e-07,2.111111111111111e-06,1.3040755555555554e-09,0.475,global
Microsoft Windows 10 Pro,2,"\\.\PHYSICALDRIVE0 931.51GB; \\.\PHYSICALDRIVE1 931.51GB",18.0,11.92,6.42,53.86,0.0,953920.0,2025-01-08 10:23:31.334735,192.168.1.8,Windows,79.789839824,26.2,5.5020336,16,0.0763136,6.304087477777777e-06,3.456944444444444e-06,7.259627666666667e-07,2.111111111111111e-06,1.0069155555555555e-08,0.475,global
Microsoft Windows 11 Home Single Language,0,Unknown,27.0,15.34,4.43,28.88,4764513.0,10772473.0,2025-01-08 10:22:58.023885,192.168.1.10,Windows,69.2616075216,34.3,5.9310576,0,1.24295888,5.4722660633333315e-06,4.525694444444444e-06,7.825700999999999e-07,0.0,1.6400151888888888e-07,0.475,global
Microsoft Windows 11 Home Single Language,0,Unknown,70.0,15.34,5.24,34.16,2183058.0,0.0,2025-01-08 10:23:23.329861,192.168.1.10,Windows,132.5123086928,73.0,6.174043199999999,0,0.17464464,1.0469618534444445e-05,9.631944444444444e-06,8.146306999999998e-07,0.0,2.3043389999999995e-08,0.475,global
Microsoft Windows 11 Home Single Language,0,Unknown,51.0,15.34,5.27,34.35,414191.0,0.0,2025-01-08 10:23:46.238069,192.168.1.10,Windows,103.73359020759999,55.9,6.182787,0,0.03313528,8.195850856388889e-06,7.375694444444443e-06,8.157843958333333e-07,0.0,4.372016111111111e-09,0.475,global
